Key,Source,Context,Changes,English,Schinese

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP 增益：击杀
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP 增益：近战击杀
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,攻击速度：提升
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,体力恢复：增强
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,体力恢复：近战
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP 增益：陷阱
statBookwormChance,ui_display,Item stat,,Search for knowledge,搜索知识
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,额外技能点几率
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,装填速度：炮塔
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,耐久消耗：修复
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Boost»[-]备用劈木机
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,收集者盔甲的“增强”。安装在防弹衣中。\n\n砍伐的木材量增加了[DECEA3]25%[-]。
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Boost»[-]备用铁破碎机
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,收集者盔甲的“增强”。安装在防弹衣中。\n\n开采的铁和铅的数量已增加[DECEA3]25%[-]。
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Boost»[-]备用地堡破坏者
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].",收集者盔甲的“增强”。安装在防弹衣中。\n\n[DECEA3]25%[-]增加了页岩、煤和硝酸钾的提取量。
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Boost»[-]备用粘土挖掘机
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,收集者盔甲的“增强”。安装在防弹衣中。\n\n开采的粘土量已增加[DECEA3]25%[-]。
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]《增强》[-]矛
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,增强装甲以改善装甲。安装在手套中。\n\n穿着全套改良盔甲时，可以获得长矛熟练度加成。
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«增强»[-]俱乐部
