Key,Source,Context,Changes,English,German

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP-Gewinn: Kills
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP-Gewinn: Nahkampf-Kills
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Angriffsgeschwindigkeit: Erhöht
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Ausdauerwiederherstellung: Erhöht
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Ausdauerwiederherstellung: Nahkampf
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP-Gewinn: Fallen
statBookwormChance,ui_display,Item stat,,Search for knowledge,Suche nach Wissen
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Chance auf zusätzliche Fertigkeitspunkte
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Nachladegeschwindigkeit: Türme
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Haltbarkeitsverbrauch: Reparatur
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Boost»[-] Ersatz-Holzspalter
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,Ein „Boost“ für die Rüstung des Sammlers. In Körperpanzerung eingebaut.\n\nDie geerntete Holzmenge wurde um [DECEA3]25 %[-] erhöht.
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Boost»[-] Ersatz-Eisenbrecher
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,Ein „Boost“ für die Rüstung des Sammlers. In Körperpanzerung eingebaut.\n\nDie Menge an abgebauten Eisen und Blei wurde um [DECEA3]25 %[-] erhöht.
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Boost»[-] Ersatz-Bunkerbrecher
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Ein „Boost“ für die Rüstung des Sammlers. In Körperpanzerung eingebaut.\n\nDie Menge an gefördertem Schiefer, Kohle und Kaliumnitrat wurde um [DECEA3]25 %[-] erhöht."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Boost»[-] Ersatz-Tonbagger
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,Ein „Boost“ für die Rüstung des Sammlers. In Körperpanzerung eingebaut.\n\nDie Menge des abgebauten Tons wurde um [DECEA3]25 %[-] erhöht.
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]„Boost“[-] Speere
