Key,Source,Context,Changes,English,Italian

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,Guadagno XP: uccisioni
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,Guadagno XP: uccisioni in mischia
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Velocità d'attacco: potenziata
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Recupero della resistenza: potenziato
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Recupero resistenza: corpo a corpo
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,Guadagno XP: trappole
statBookwormChance,ui_display,Item stat,,Search for knowledge,Cerca la conoscenza
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Possibilità di punti abilità extra
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Velocità di ricarica: torrette
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Consumo di durabilità: riparazione
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Boost»[-] Spaccalegna di ricambio
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,Un «potenziamento» per l'armatura del Raccoglitore. Installato nell'armatura.\n\nLa quantità di legno raccolto è stata aumentata del [DECEA3]25%[-].
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Boost»[-] Spaccaferro di riserva
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,Un «potenziamento» per l'armatura del Raccoglitore. Installato nell'armatura.\n\nLa quantità di ferro e piombo estratta è stata aumentata del [DECEA3]25%[-].
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Boost»[-] Spaccabunker di riserva
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Un «potenziamento» per l'armatura del Raccoglitore. Installato nell'armatura.\n\nLa quantità di scisto, carbone e nitrato di potassio estratti è stata aumentata del [DECEA3]25%[-]."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Boost»[-] Scavatore di argilla di riserva
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,Un «potenziamento» per l'armatura del Raccoglitore. Installato nell'armatura.\n\nLa quantità di argilla estratta è stata aumentata del [DECEA3]25%[-].
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Boost»[-] Lance
