Key,Source,Context,Changes,English,Tchinese

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP 增益：擊殺
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP 增益：近戰擊殺
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,攻擊速度：提升
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,體力恢復：增強
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,體力恢復：近戰
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP 增益：陷阱
statBookwormChance,ui_display,Item stat,,Search for knowledge,搜尋知識
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,額外技能點幾率
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,裝填速度：砲塔
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,耐久消耗：修復
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]《Boost》[-] 備用劈木機
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,A «Boost» for Gatherer armor.安裝在防彈衣中。 \n\n砍伐的木材量增加了[DECEA3]25%[-]。
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]《Boost》[-] 備用鐵破碎機
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,A «Boost» for Gatherer armor.安裝在防彈衣中。 \n\n開採的鐵和鉛的數量增加了[DECEA3]25%[-]。
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]《增強》[-] 備用地堡破壞者
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].",收集者盔甲的「增強」。安裝在防彈衣中。 \n\n萃取的頁岩、煤和硝酸鉀的量增加了[DECEA3]25%[-]。
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]《Boost》[-] 備用黏土挖土機
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,A «Boost» for Gatherer armor.安裝在防彈衣中。 \n\n開採的黏土量增加了[DECEA3]25%[-]。
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]《增強》[-] 矛
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Enhancement for improved armor.安裝在手套中。 \n\n穿著全套改良的盔甲時，可以獲得長矛熟練度加成。
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]《提升》[-] 俱樂部
