Key,Source,Context,Changes,English,Turkish

===
=== Z_Armor_Improved ===
===


statPlayerExpGainKill,ui_display,Item stat,,XP Gain: Kills,XP Kazanımı: Öldürmeler
statPlayerExpGainKillMelee,ui_display,Item stat,,XP Gain: Melee Kills,XP Kazanımı: Yakın Dövüş Öldürmeler
statAttacksPerMinuteEnhanced,ui_display,Item stat,,Attack Speed: Boosted,Saldırı Hızı: Arttırıldı
statStaminaRestEnhanced,ui_display,Item stat,,Stamina Recovery: Boosted,Dayanıklılık Yenileme: Arttırıldı
statStaminaRestMelee,ui_display,Item stat,,Stamina Recovery: Melee,Dayanıklılık Yenileme: Yakın Dövüş
statTrapsExpGain,ui_display,Item stat,,XP Gain: Traps,XP Kazanımı: Tuzaklar
statBookwormChance,ui_display,Item stat,,Search for knowledge,Bilgiyi arayın
statNerdSkillPointChance,ui_display,Item stat,,Extra skill point chance,Ekstra beceri puanı şansı
statReloadSpeedTurrets,ui_display,Item stat,,Reload speed: Turrets,Yeniden yükleme hızı: Taretler
statDegradationPerUseConst,ui_display,Item stat,,Durability Consumption: Repair,Dayanıklılık Tüketimi: Onarım
modEnhancedWood,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Wood Splitter,[FF6666]«Takviye»[-] Yedek Ağaç Bölücü
modEnhancedWoodDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of wood harvested has been increased by [DECEA3]25%[-].,"Toplayıcı zırhı için bir """"Takviye"""". Kurşun geçirmez yelek takıldı.\n\nHasat edilen odun miktarı [DECEA3]%25[-] artırıldı."
modEnhancedMetal,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Iron Breaker,[FF6666]«Takviye»[-] Yedek Demir Kırıcı
modEnhancedMetalDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of iron and lead mined has been increased by [DECEA3]25%[-].,"Toplayıcı zırhı için bir """"Takviye"""". Kurşun geçirmez yelek takıldı.\n\nÇıkarılan demir ve kurşun miktarı [DECEA3]%25[-] artırıldı."
modEnhancedStone,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Bunker Buster,[FF6666]«Takviye»[-] Yedek Sığınak Avcısı
modEnhancedStoneDesc,item_modifiers,mod,,"A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of shale, coal, and potassium nitrate extracted has been increased by [DECEA3]25%[-].","Toplayıcı zırhı için bir ""Takviye"". Kurşun geçirmez yelek takıldı.\n\nÇıkartılan şist, kömür ve potasyum nitrat miktarı [DECEA3]%25[-] artırıldı."
modEnhancedClay,item_modifiers,mod,,[FF6666]«Boost»[-] Spare Clay Digger,[FF6666]«Takviye»[-] Yedek Kil Kazıcı
modEnhancedClayDesc,item_modifiers,mod,,A «Boost» for Gatherer armor. Installed in body armor.\n\nThe amount of clay mined has been increased by [DECEA3]25%[-].,"Toplayıcı zırhı için bir """"Takviye"""". Vücut zırhına takılır.\n\nÇıkarılan kil miktarı [DECEA3]%25[-] artırıldı."
modEnhancedSpear,item_modifiers,mod,,[FF6666]«Boost»[-] Spears,[FF6666]«Yükseltme»[-] Mızraklar
