Key,File,Type,UsedInMainMenu,english,schinese
AECSheriffBoss,entityclasses,Entity,false,The Sheriff,警长
AECSheriffWolfMinion01,entityclasses,Entity,false,Sheriff Hellhound,警长的地狱犬
AECSheriffMinion02,entityclasses,Entity,false,Sheriff Deputy,警长副手
AECSheriffBossT03,entityclasses,Entity,false,The Sheriff T03,警长 T03
AECSheriffBossT06,entityclasses,Entity,false,The Sheriff T06,警长 T06
AECSheriffBossT09,entityclasses,Entity,false,The Sheriff T09,警长 T09
AECSheriffBossT12,entityclasses,Entity,false,The Sheriff T12,警长 T12
AECSheriffBossT15,entityclasses,Entity,false,The Sheriff T15,警长 T15
AECSheriffWolfMinion01T03,entityclasses,Entity,false,Sheriff Hellhound T03,警长地狱犬 T03
AECSheriffWolfMinion01T06,entityclasses,Entity,false,Sheriff Hellhound T06,警长地狱犬 T06
AECSheriffWolfMinion01T09,entityclasses,Entity,false,Sheriff Hellhound T09,警长地狱犬 T09
AECSheriffWolfMinion01T12,entityclasses,Entity,false,Sheriff Hellhound T12,警长地狱犬 T12
AECSheriffWolfMinion01T15,entityclasses,Entity,false,Sheriff Hellhound T15,警长地狱犬 T15
AECSheriffMinion02T03,entityclasses,Entity,false,Sheriff Deputy T03,警长副警长 T03
AECSheriffMinion02T06,entityclasses,Entity,false,Sheriff Deputy T06,警长副警长 T06
AECSheriffMinion02T09,entityclasses,Entity,false,Sheriff Deputy T09,警长副警长 T09
AECSheriffMinion02T12,entityclasses,Entity,false,Sheriff Deputy T12,警长副警长 T12
AECSheriffMinion02T15,entityclasses,Entity,false,Sheriff Deputy T15,警长副警长 T15
AECSheriffBossLootBag,entityclasses,Entity,false,Sheriff Boss Loot Bag,警长首领战利品袋
AECSheriffMinionLootBag,entityclasses,Entity,false,Sheriff Minion Loot Bag,警长仆从战利品袋
AECSheriffBossLootBagT03,entityclasses,Entity,false,Sheriff Boss Loot Bag T03,警长首领战利品袋 T03
AECSheriffBossLootBagT06,entityclasses,Entity,false,Sheriff Boss Loot Bag T06,警长首领战利品袋 T06
AECSheriffBossLootBagT09,entityclasses,Entity,false,Sheriff Boss Loot Bag T09,警长首领战利品袋 T09
