Key,File,Type,UsedInMainMenu,english,russian,schinese
aecVehProgChapter1,items,Item,,[55C05A]AEC Garage[-] [DECEA3]Guide 1/2[-],[55C05A]Гараж AEC[-] [DECEA3]Руководство 1/2[-],[55C05A]AEC 车库[-] [DECEA3]指南 1/2[-]
aecVehProgChapter1Desc,items,Item,,[FFFFFF][55C05A]AEC Garage[-][FFFFFF]\n\nStarts the first part of the vehicle guide.\n\n[FF8A65]Important[-][FFFFFF]\nDo not cancel this quest. Only an administrator can issue a replacement guide.[-],[FFFFFF]Начинает первую часть руководства по транспорту AEC.\n\n[FF8A65]Не отменяйте задание: новое руководство сможет выдать только администратор.[-][-],[FFFFFF][55C05A]AEC 车库[-][FFFFFF]\n\n开启载具指南的第一部分。\n\n[FF8A65]重要提示[-][FFFFFF]\n请勿取消此任务。只有管理员才能补发指南。[-]
aecVehProgChapter2,items,Item,,[55C05A]AEC Garage[-] [DECEA3]Guide 2/2[-],[55C05A]Гараж AEC[-] [DECEA3]Руководство 2/2[-],[55C05A]AEC 车库[-] [DECEA3]指南 2/2[-]
aecVehProgChapter2Desc,items,Item,,[FFFFFF][55C05A]AEC Garage[-][FFFFFF]\n\nStarts the second part of the vehicle guide.\n\n[FF8A65]Important[-][FFFFFF]\nDo not cancel this quest. Only an administrator can issue a replacement guide.[-],[FFFFFF]Начинает вторую часть руководства по транспорту AEC.\n\n[FF8A65]Не отменяйте задание: новое руководство сможет выдать только администратор.[-][-],[FFFFFF][55C05A]AEC 车库[-][FFFFFF]\n\n开启载具指南的第二部分。\n\n[FF8A65]重要提示[-][FFFFFF]\n请勿取消此任务。只有管理员才能补发指南。[-]
aecVehProgQuest1Name,Quest,Quest Info,,[FFFFFF][55C05A]AEC Garage[-][FFFFFF] [DECEA3]Guide 1/2[-],[FFFFFF][55C05A]Гараж AEC[-][FFFFFF] [DECEA3]Руководство 1/2[-][-][-],[FFFFFF][55C05A]AEC 车库[-][FFFFFF] [DECEA3]指南 1/2[-]
aecVehProgQuest1Offer,Quest,Quest Info,,"[FFFFFF][55C05A]AEC Garage[-][FFFFFF]\n[DECEA3]Part 1 — Final assembly[-][FFFFFF]\n\n[9BD65A]Workshop[-][FFFFFF]\nAEC vehicles are built at the [DECEA3]AEC Final Assembly Bench[-][FFFFFF]. It produces chassis, repair kits and finished vehicles.\n\n[5ECFFF]Recipe unlocks[-][FFFFFF]\n• [FFFFFF]Bicycle[-][FFFFFF] — Vehicles 5\n• [FFFFFF]Minibike[-][FFFFFF] — Vehicles 20\n• [FFFFFF]Motorcycle[-][FFFFFF] — Vehicles 45\n• [FFFFFF]4x4[-][FFFFFF] — Vehicles 70\n• [FFFFFF]Gyrocopter[-][FFFFFF] — Vehicles 100\n\n[AAAAAA]The matching AEC recipe unlocks with the vanilla vehicle. It does not add another entry to the skill window.[-][FFFFFF]\n\n[FFD866]Next step[-][FFFFFF]\nCraft the bench to receive part 2.\n\n[FF8A65]Important[-][FFFFFF]\nDo not cancel this quest. Only an administrator can issue a replacement guide.[-]","[55C05A]ГАРАЖ AEC[-][FFFFFF]\n[DECEA3]Часть 1 — Финальная сборка[-][FFFFFF]\n\n[9BD65A]Назначение[-][FFFFFF]\n[-][DECEA3]«Верстак финальной сборки AEC»[-][FFFFFF] используется для изготовления шасси, ремонтных комплектов и готового транспорта.\n\n[5ECFFF]Открытие рецептов[-][FFFFFF]\nВелосипед — «Транспортные средства» 5\nМинибайк — 20\nМотоцикл — 45\n4x4 — 70\nГирокоптер — 100\n\n[FFD866]Задача[-][FFFFFF]\nИзготовьте верстак, чтобы получить вторую часть руководства.\n\n[FF8A65]Не отменяйте задание: новое руководство сможет выдать только администратор.[-][-][-][-][-][-]",[FFFFFF][55C05A]AEC 车库[-][FFFFFF]\n[DECEA3]第一部分——最终装配[-][FFFFFF]\n\n[9BD65A]工作台[-][FFFFFF]\nAEC 载具需要在 [DECEA3]AEC 最终装配台[-][FFFFFF]上制造。该工作台可制造底盘、修理包和完整载具。\n\n[5ECFFF]配方解锁条件[-][FFFFFF]\n• [FFFFFF]自行车[-][FFFFFF]——载具 5\n• [FFFFFF]迷你摩托车[-][FFFFFF]——载具 20\n• [FFFFFF]摩托车[-][FFFFFF]——载具 45\n• [FFFFFF]4×4 卡车[-][FFFFFF]——载具 70\n• [FFFFFF]旋翼机[-][FFFFFF]——载具 100\n\n[AAAAAA]解锁原版载具时，会同时解锁对应的 AEC 配方，不会在技能窗口中增加重复条目。[-][FFFFFF]\n\n[FFD866]下一步[-][FFFFFF]\n制造该工作台即可获得指南第二部分。\n\n[FF8A65]重要提示[-][FFFFFF]\n请勿取消此任务。只有管理员才能补发指南。[-]
aecVehProgQuest1Journal,Quest,Quest Info,,"[FFFFFF][FFD866]Task[-][FFFFFF]\nCraft the [DECEA3]AEC Final Assembly Bench[-][FFFFFF].\n\n[9BD65A]Used for[-][FFFFFF]\nChassis, repair kits and finished AEC vehicles.\n\n[5ECFFF]Unlock[-][FFFFFF]\nAutomatic with the matching vanilla vehicle recipe.[-]","[FFD866]Задача[-][FFFFFF]\nИзготовьте [-][DECEA3]«Верстак финальной сборки AEC»[-][FFFFFF].\n\n[9BD65A]Назначение[-][FFFFFF]\nШасси, ремонтные комплекты и готовый транспорт AEC.[-][-]",[FFFFFF][FFD866]任务[-][FFFFFF]\n制造 [DECEA3]AEC 最终装配台[-][FFFFFF]。\n\n[9BD65A]用途[-][FFFFFF]\n制造底盘、修理包和完整的 AEC 载具。\n\n[5ECFFF]解锁方式[-][FFFFFF]\n解锁对应的原版载具配方时自动解锁。[-]
aecVehProgObjectiveAssemblyBench,Quest,Quest Info,,[FFFFFF]Craft the AEC Final Assembly Bench[-],[FFFFFF]Изготовьте верстак финальной сборки AEC[-],[FFFFFF]制造 AEC 最终装配台[-]
aecVehProgQuest2Name,Quest,Quest Info,,[FFFFFF][55C05A]AEC Garage[-][FFFFFF] [DECEA3]Guide 2/2[-],[FFFFFF][55C05A]Гараж AEC[-][FFFFFF] [DECEA3]Руководство 2/2[-][-][-],[FFFFFF][55C05A]AEC 车库[-][FFFFFF] [DECEA3]指南 2/2[-]
aecVehProgQuest2Offer,Quest,Quest Info,,"[FFFFFF][55C05A]AEC Garage[-][FFFFFF]\n[DECEA3]Part 2 — Vehicle modifiers[-][FFFFFF]\n\n[9BD65A]Workshop[-][FFFFFF]\nCraft the [DECEA3]AEC Modifier Bench[-][FFFFFF]. It is used for AEC vehicle upgrades.\n\n[5ECFFF]Available upgrades[-][FFFFFF]\n• lower fuel consumption;\n• stronger headlights;\n• more damage to entities or blocks;\n• higher torque and top speed;\n• larger fuel tank;\n• less collision damage to the vehicle.\n\n[DECEA3]Installation[-][FFFFFF]\nPlace modules in compatible vehicle modification slots. Higher tiers cost more, so choose upgrades for the vehicle’s role.[-]","[55C05A]ГАРАЖ AEC[-][FFFFFF]\n[DECEA3]Часть 2 — Модификаторы транспорта[-][FFFFFF]\n\n[9BD65A]Назначение[-][FFFFFF]\n[-][DECEA3]«Верстак модификаторов AEC»[-][FFFFFF] используется для изготовления улучшений транспорта.\n\n[5ECFFF]Доступные улучшения[-][FFFFFF]\nРасход топлива, свет фар, урон, скорость, крутящий момент, объём бака и защита от столкновений.\n\n[FFD866]Задача[-][FFFFFF]\nИзготовьте верстак модификаторов.[-][-][-][-][-]",[FFFFFF][55C05A]AEC 车库[-][FFFFFF]\n[DECEA3]第二部分——载具改装件[-][FFFFFF]\n\n[9BD65A]工作台[-][FFFFFF]\n制造 [DECEA3]AEC 改装件工作台[-][FFFFFF]，用它来制作 AEC 载具升级件。\n\n[5ECFFF]可用升级[-][FFFFFF]\n• 降低油耗；\n• 增强车灯；\n• 提高对实体或方块的伤害；\n• 提升扭矩和最高速度；\n• 扩大油箱容量；\n• 减少载具受到的碰撞伤害。\n\n[DECEA3]安装方法[-][FFFFFF]\n将模块装入兼容的载具改装槽。高级模块的成本更高，请根据载具用途选择升级。[-]
aecVehProgQuest2Journal,Quest,Quest Info,,[FFFFFF][FFD866]Task[-][FFFFFF]\nCraft the [DECEA3]AEC Modifier Bench[-][FFFFFF].\n\n[9BD65A]Used for[-][FFFFFF]\nAEC vehicle upgrades.\n\n[5ECFFF]Installation[-][FFFFFF]\nCompatible vehicle modification slots.[-],[FFD866]Задача[-][FFFFFF]\nИзготовьте [-][DECEA3]«Верстак модификаторов AEC»[-][FFFFFF].\n\n[9BD65A]Назначение[-][FFFFFF]\nУлучшения для транспорта AEC.[-][-],[FFFFFF][FFD866]任务[-][FFFFFF]\n制造 [DECEA3]AEC 改装件工作台[-][FFFFFF]。\n\n[9BD65A]用途[-][FFFFFF]\n制造 AEC 载具升级件。\n\n[5ECFFF]安装位置[-][FFFFFF]\n兼容的载具改装槽。[-]
aecVehProgObjectiveModifierBench,Quest,Quest Info,,[FFFFFF]Craft the AEC Modifier Bench[-],[FFFFFF]Изготовьте верстак модификаторов AEC[-],[FFFFFF]制造 AEC 改装件工作台[-]
