Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
itemPZAECBossLootBundleT03,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Добыча босса — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]首领战利品 — T03[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T03[-]
itemPZAECBossLootBundleT03Desc,items,Item,,,,"[99FF99]Contents[-]\nBasic Project Z ammunition, supplies and resources.\n\n[AAAAAA]Entry-tier boss reward.[-]",,,,,,,,,,"[99FF99]Содержимое[-]\nБазовые боеприпасы, припасы и ресурсы Project Z.\n\n[AAAAAA]Награда за босса начального тира.[-]",,[99FF99]内容[-]\nProject Z基础弹药、补给和资源。\n\n[AAAAAA]入门级首领奖励。[-],
itemPZAECBossLootBundleT06,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Добыча босса — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]首领战利品 — T06[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T06[-]
itemPZAECBossLootBundleT06Desc,items,Item,,,,"[99FF99]Contents[-]\nImproved ammunition, supplies and alloys.\n\n[FFD866]Bonus[-]\nSmall chance of rare loot.",,,,,,,,,,"[99FF99]Содержимое[-]\nУлучшенные боеприпасы, припасы и сплавы.\n\n[FFD866]Дополнительно[-]\nНебольшой шанс редкой добычи.",,[99FF99]内容[-]\n改良弹药、补给和合金。\n\n[FFD866]额外奖励[-]\n有较低概率获得稀有战利品。,
itemPZAECBossLootBundleT09,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Добыча босса — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]首领战利品 — T09[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T09[-]
itemPZAECBossLootBundleT09Desc,items,Item,,,,"[99FF99]Contents[-]\nMore supplies, alloys and rare modifiers.\n\n[FFD866]Bonus[-]\nChance of a unique reward.",,,,,,,,,,"[99FF99]Содержимое[-]\nБольше припасов, сплавов и редких модификаций.\n\n[FFD866]Дополнительно[-]\nШанс уникальной награды.",,[99FF99]内容[-]\n更多补给、合金和稀有改装件。\n\n[FFD866]额外奖励[-]\n有概率获得独特奖励。,
itemPZAECBossLootBundleT12,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Добыча босса — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]首领战利品 — T12[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T12[-]
itemPZAECBossLootBundleT12Desc,items,Item,,,,"[99FF99]Contents[-]\nHigh-tier supplies and equipment.\n\n[FFD866]Bonus[-]\nHigher chance of unique modifiers, skill rewards and weapons.",,,,,,,,,,"[99FF99]Содержимое[-]\nПрипасы и снаряжение высокого тира.\n\n[FFD866]Дополнительно[-]\nПовышенный шанс уникальных модификаций, наград для навыков и оружия.",,[99FF99]内容[-]\n高级补给和装备。\n\n[FFD866]额外奖励[-]\n获得独特改装件、技能奖励和武器的概率更高。,
itemPZAECBossLootBundleT15,items,Item,false,,,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],Ownership-only display-name override.,[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Добыча босса — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]首领战利品 — T15[-],[FFD700][AEC[-][F87C63]\PZ][-] [99FF99]Boss Loot — T15[-]
itemPZAECBossLootBundleT15Desc,items,Item,,,,"[99FF99]Contents[-]\nTop-tier boss rewards.\n\n[FFD866]Best chances[-]\nUnique modifiers, legendary weapons and rare parts.",,,,,,,,,,"[99FF99]Содержимое[-]\nНаграды за босса высшего тира.\n\n[FFD866]Наибольший шанс[-]\nУникальные модификации, легендарное оружие и редкие детали.",,[99FF99]内容[-]\n最高等级的首领奖励。\n\n[FFD866]最佳掉落概率[-]\n可能获得独特改装件、传奇武器和稀有部件。,
