Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
AECZombieArleneTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Arlene,,,,,,,,,,,,[FF55FF]T16 超越级[-] 阿琳,[FF55FF]T16 Transcendent[-] Arlene
AECZombieBikerTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Biker,,,,,,,,,,,,[FF55FF]T16 超越级[-] 摩托车手,[FF55FF]T16 Transcendent[-] Biker
AECZombieBoeTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Boe,,,,,,,,,,,,[FF55FF]T16 超越级[-] 波,[FF55FF]T16 Transcendent[-] Boe
AECZombieBowlerTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Bowler,,,,,,,,,,,,[FF55FF]T16 超越级[-] 保龄球手,[FF55FF]T16 Transcendent[-] Bowler
AECZombieBurntTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Burnt Zombie,,,,,,,,,,,,[FF55FF]T16 超越级[-] 焦尸,[FF55FF]T16 Transcendent[-] Burnt Zombie
AECZombieBusinessManTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Business Man,,,,,,,,,,,,[FF55FF]T16 超越级[-] 商务人士,[FF55FF]T16 Transcendent[-] Business Man
AECZombieChuckTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Chuck,,,,,,,,,,,,[FF55FF]T16 超越级[-] 查克,[FF55FF]T16 Transcendent[-] Chuck
AECZombieDarleneTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Darlene,,,,,,,,,,,,[FF55FF]T16 超越级[-] 达琳,[FF55FF]T16 Transcendent[-] Darlene
AECZombieDemolitionTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Demolisher,,,,,,,,,,,,[FF55FF]T16 超越级[-] 爆破者,[FF55FF]T16 Transcendent[-] Demolisher
AECZombieFatCopTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Fat Cop,,,,,,,,,,,,[FF55FF]T16 超越级[-] 肥胖警察,[FF55FF]T16 Transcendent[-] Fat Cop
AECZombieFatHawaiianTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Fat Hawaiian,,,,,,,,,,,,[FF55FF]T16 超越级[-] 肥胖夏威夷人,[FF55FF]T16 Transcendent[-] Fat Hawaiian
AECZombieFemaleFatTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Fat Female,,,,,,,,,,,,[FF55FF]T16 超越级[-] 肥胖女尸,[FF55FF]T16 Transcendent[-] Fat Female
AECZombieInmateTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Inmate,,,,,,,,,,,,[FF55FF]T16 超越级[-] 囚犯,[FF55FF]T16 Transcendent[-] Inmate
AECZombieJanitorTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Janitor,,,,,,,,,,,,[FF55FF]T16 超越级[-] 清洁工,[FF55FF]T16 Transcendent[-] Janitor
AECZombieJoeTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Joe,,,,,,,,,,,,[FF55FF]T16 超越级[-] 乔,[FF55FF]T16 Transcendent[-] Joe
AECZombieLabTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Lab Zombie,,,,,,,,,,,,[FF55FF]T16 超越级[-] 实验室僵尸,[FF55FF]T16 Transcendent[-] Lab Zombie
AECZombieLumberjackTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Lumberjack,,,,,,,,,,,,[FF55FF]T16 超越级[-] 伐木工,[FF55FF]T16 Transcendent[-] Lumberjack
AECZombieMaleHazmatTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Hazmat Zombie,,,,,,,,,,,,[FF55FF]T16 超越级[-] 防化服僵尸,[FF55FF]T16 Transcendent[-] Hazmat Zombie
AECZombieMarleneTier16Transcendent,entityclasses,Entity,,,,[FF55FF]T16 Transcendent[-] Marlene,,,,,,,,,,,,[FF55FF]T16 超越级[-] 玛琳,[FF55FF]T16 Transcendent[-] Marlene
